site_no,site_name,timestamp_utc,flow_cfs
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 02:30:00+00:00,26.3
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 02:45:00+00:00,26.3
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 03:00:00+00:00,26.3
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 03:15:00+00:00,26.3
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 03:30:00+00:00,26.3
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 03:45:00+00:00,26.3
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 04:00:00+00:00,26.3
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 04:15:00+00:00,26.3
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 04:30:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 04:45:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 05:00:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 05:15:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 05:30:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 05:45:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 06:00:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 06:15:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 06:30:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 06:45:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 07:00:00+00:00,26.3
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 07:15:00+00:00,26.3
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 07:30:00+00:00,26.3
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 07:45:00+00:00,26.3
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 08:00:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 08:15:00+00:00,26.3
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 08:30:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 08:45:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 09:00:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 09:15:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 09:30:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 09:45:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 10:00:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 10:15:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 10:30:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 10:45:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 11:00:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 11:15:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 11:30:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 11:45:00+00:00,26.3
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 12:00:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 12:15:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 12:30:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 12:45:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 13:00:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 13:15:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 13:30:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 13:45:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 14:00:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 14:15:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 14:30:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 14:45:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 15:00:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 15:15:00+00:00,25.4
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-10 15:30:00+00:00,25.4
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 16:30:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 16:45:00+00:00,188.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 17:00:00+00:00,188.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 17:15:00+00:00,188.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 17:30:00+00:00,188.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 17:45:00+00:00,188.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 18:00:00+00:00,188.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 18:15:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 18:30:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 18:45:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 19:00:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 19:15:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 19:30:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 19:45:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 20:00:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 20:15:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 20:30:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 20:45:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 21:00:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 21:15:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 21:30:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 21:45:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 22:00:00+00:00,188.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 22:15:00+00:00,188.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 22:30:00+00:00,188.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 22:45:00+00:00,188.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 23:00:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 23:15:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 23:30:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-09 23:45:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 00:00:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 00:15:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 00:30:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 00:45:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 01:00:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 01:15:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 01:30:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 01:45:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 02:00:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 02:15:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 02:30:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 02:45:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 03:00:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 03:15:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 03:30:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 03:45:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 04:00:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 04:15:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 04:30:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 04:45:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 05:00:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 05:15:00+00:00,204.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 05:30:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 05:45:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 06:00:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 06:15:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 06:30:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 06:45:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 07:00:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 07:15:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 07:30:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 07:45:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 08:00:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 08:15:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 08:30:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 08:45:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 09:00:00+00:00,204.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 09:15:00+00:00,204.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 09:30:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 09:45:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 10:00:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 10:15:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 10:30:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 10:45:00+00:00,204.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 11:00:00+00:00,209.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 11:15:00+00:00,209.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 11:30:00+00:00,204.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 11:45:00+00:00,204.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 12:00:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 12:15:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 12:30:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 12:45:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 13:00:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 13:15:00+00:00,204.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 13:30:00+00:00,204.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 13:45:00+00:00,204.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 14:00:00+00:00,204.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 14:15:00+00:00,198.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 14:30:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 14:45:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 15:00:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 15:15:00+00:00,193.0
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-10 15:30:00+00:00,193.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 16:30:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 16:45:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 17:00:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 17:15:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 17:30:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 17:45:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 18:00:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 18:15:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 18:30:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 18:45:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 19:00:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 19:15:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 19:30:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 19:45:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 20:00:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 20:15:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 20:30:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 20:45:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 21:00:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 21:15:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 21:30:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 21:45:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 22:00:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 22:15:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 22:30:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 22:45:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 23:00:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 23:15:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 23:30:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-09 23:45:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 00:00:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 00:15:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 00:30:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 00:45:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 01:00:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 01:15:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 01:30:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 01:45:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 02:00:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 02:15:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 02:30:00+00:00,29.0
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 02:45:00+00:00,30.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 03:00:00+00:00,30.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 03:15:00+00:00,30.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 03:30:00+00:00,30.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 03:45:00+00:00,30.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 04:00:00+00:00,30.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 04:15:00+00:00,30.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 04:30:00+00:00,30.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 04:45:00+00:00,30.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 05:00:00+00:00,30.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 05:15:00+00:00,30.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 05:30:00+00:00,31.4
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 05:45:00+00:00,31.4
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 06:00:00+00:00,31.4
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 06:15:00+00:00,31.4
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 06:30:00+00:00,32.6
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 06:45:00+00:00,32.6
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 07:00:00+00:00,32.6
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 07:15:00+00:00,32.6
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 07:30:00+00:00,33.9
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 07:45:00+00:00,33.9
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 08:00:00+00:00,33.9
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 08:15:00+00:00,33.9
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 08:30:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 08:45:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 09:00:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 09:15:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 09:30:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 09:45:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 10:00:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 10:15:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 10:30:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 10:45:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 11:00:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 11:15:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 11:30:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 11:45:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 12:00:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 12:15:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 12:30:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 12:45:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 13:00:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 13:15:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 13:30:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 13:45:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 14:00:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 14:15:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 14:30:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 14:45:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 15:00:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 15:15:00+00:00,35.2
02014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-10 15:30:00+00:00,35.2
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 16:30:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 16:45:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 17:00:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 17:15:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 17:30:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 17:45:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 18:00:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 18:15:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 18:30:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 18:45:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 19:00:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 19:15:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 19:30:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 19:45:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 20:00:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 20:15:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 20:30:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 20:45:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 21:00:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 21:15:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 21:30:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 21:45:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 22:00:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 22:15:00+00:00,33.6
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-09 22:30:00+00:00,33.6
